10090,60,6
"Bye bye Trump election and his Medicare. I had seen a lot of Brazilians that are living in the USA for years complaining about the Brazilian universal health system (similar NHS) against the private USA model. Nowadays, they are asking for Brazilian government rescue in the USA jurisdiction. The world will change, a lot of people will need of the government support in the same manner of China have done, we will experience a real change in the relationship between government and citizens.",0.6369,0
Muss une krieg gegenuber China China comuniste lands danger in welt chade u s america,-0.5267,0
"Corona in US. 
Best Meme for Coffin Dance.",0.6369,0
people need to wear more protective gear like masks & gloves there are still suppliers in the US like corona-hygiene.com with KN95 and reusable masks & more I don't get it are people to ignorant to wear them ?🤔,0.5311,0
The so call 'richest' country in the world with a profit based health care system designed for the wealthy and not for the working poor and struggling middle class.,0.4019,0
Redistribute wealth,0.4939,0
"Trump is a complete unrelenting idiot. 
So embarrassed that he’s our president.",-0.7264,0
"Because USA goverment want it to happen refusing to adopt successfully systems(South Korea, Taiwan or Germany)that control coronavirus without lockdown or destroying the economy.",0.6623,2
NHS is brilliant 👏,0.5859,1
"Weight loss reported the world over. Rice, porridge oats, powdered milk, bread (only unfreeze what you need), tinned anything, frozen vegetables. Learning how to live like Earth's poor will assist you very well indeed. (UK)",-0.1298,0
Successful Covid-19 vaccination = normality restored. Nothing else will do it. (UK),0.7351,0
American middle class Gone. This is what happens when you sleep.,0.0,5
There’s no money - go away,-0.296,1
The next bestselling cookbook will be: Recipes with Rat,0.0,1
"Is it just me, or does the media seem to be enjoying this situation?",0.5267,0
Which means they have no choice but join the military for thier livelihood.,0.5267,1
"""17 million people unemploed in just 4 weeks"".
Who is gonna pay this bill? Who is gonna do smt about this? Is it rigth a country spread out death all over the world and not be blamed?
CCP virus is killing thousands of people all over the world. Our loved ones is dying without any honnor.",-0.584,1
This report had virtually nothing to do with unemployment.,-0.4404,2
"You are a brainwashed moron and I can prove it . 1)You believe that
(on 911) some cave dwellers with muskets were able to outsmart the
planets most sophisticated defence system and two planes made 3
buildings (dont forget building 7 like the commission report did)
collapse at free fall speed and dustify everything , leave pools of
molton steel and have a paper passport magically found in the dust .
2) You believe Bill Gates is a good guy who gives millions to charity
( that is peanuts to him and it pails against the billions he is
going to make from his magic vaccine that by the way not only
contains aborted human fetal tissue , toxins , but as a free bonus
this time will contain HYPER GEL with sensors to track and monitor
c/o D.A.R.P.A. ) Here’s a fact : NAUGHTY
BILLY forgot to tell you what the vaccine insert 13 says for every
vaccine :""THIS VACCINE HAS NOT BEEN TESTED FOR CARCINOGENIC
POTENTIAL , MUTAGENIC POTENTIAL AND IMPAIRMENT OF FERTILITY "" In
basic English If you get CANCER , TERMINAL ILLNESS THROUGH GENE
MUTATION OR CANNOT HAVE BABIES as a direct result of Billy's little
vaccine . There is legally nothing you can do .Billy gets his
billions and reduces population double wammy ! You dont think he
wants to ? “The
world today has 6.8 billion people. That's heading up to about nine
billion. Now if we do a really great job on new vaccines, health care
& reproductive health services, we could LOWER that by perhaps 10
or 15 percent.”

― Bill
Gates
Don’t trust me watch the TED TALK . Listen I could go on forever
but here’s the deal :There is a video that has been banned /
deleted  by youtube and vimeo . You need to ask yourself 3 questions
1)
Why
are they so scared people see it if it doesn’t credibly
threaten their narrative?
2)
Am I A PATHETIC SCARED CHILD IN ADULT SKIN who needs to be protected
by big brother and told what I am allowed or not allowed to watch? 3)
Am I a free thinking curious adult open to both sides of the story ?
You can’t turn back now you have a choice BE A RESPONSIBLE  ADULT
OR A PATHETIC SUBSERVIENT  BABY . Be careful now 
one of these choices will lead to regret , tears pain and suffering
of millions the other will help avoid it . You
have been warned Are you really prepared to gamble that
I am not doing God’s work and and that instead  I am just a
“conspiracy nutter”

when
all that was needed was a few minutes of your life ? This
could well be the most important decision of your life.WORD
      watch here the banned london real interview :
https://www.davidicke.com",-0.949,0
This economic crisis in USA and Europe would rise up a new empire: CHINA.,-0.6249,9
They need to build a wall to keep this foreign plague out of their borders and protect American jobs. America First. Jesus instructions Last.,0.3818,0
"USA
Total Deaths
16,267 ! !",0.0,1
This man had 13 cardiac arrests in 16 hours. He must be feeling a bit under the weather by now,-0.34,5
