16783,215,21
"Bye bye Trump election and his Medicare. I had seen a lot of Brazilians that are living in the USA for years complaining about the Brazilian universal health system (similar NHS) against the private USA model. Nowadays, they are asking for Brazilian government rescue in the USA jurisdiction. The world will change, a lot of people will need of the government support in the same manner of China have done, we will experience a real change in the relationship between government and citizens.",0.6369,0
Muss une krieg gegenuber China China comuniste lands danger in welt chade u s america,-0.5267,0
"Corona in US. 
Best Meme for Coffin Dance.",0.6369,0
people need to wear more protective gear like masks & gloves there are still suppliers in the US like corona-hygiene.com with KN95 and reusable masks & more I don't get it are people to ignorant to wear them ?🤔,0.5311,0
The so call 'richest' country in the world with a profit based health care system designed for the wealthy and not for the working poor and struggling middle class.,0.4019,0
Redistribute wealth,0.4939,0
"Trump is a complete unrelenting idiot. 
So embarrassed that he’s our president.",-0.7264,0
"Because USA goverment want it to happen refusing to adopt successfully systems(South Korea, Taiwan or Germany)that control coronavirus without lockdown or destroying the economy.",0.6623,2
NHS is brilliant 👏,0.5859,1
"Weight loss reported the world over. Rice, porridge oats, powdered milk, bread (only unfreeze what you need), tinned anything, frozen vegetables. Learning how to live like Earth's poor will assist you very well indeed. (UK)",-0.1298,0
Successful Covid-19 vaccination = normality restored. Nothing else will do it. (UK),0.7351,0
American middle class Gone. This is what happens when you sleep.,0.0,5
There’s no money - go away,-0.296,1
The next bestselling cookbook will be: Recipes with Rat,0.0,1
"Is it just me, or does the media seem to be enjoying this situation?",0.5267,0
Which means they have no choice but join the military for thier livelihood.,0.5267,1
"""17 million people unemploed in just 4 weeks"".
Who is gonna pay this bill? Who is gonna do smt about this? Is it rigth a country spread out death all over the world and not be blamed?
CCP virus is killing thousands of people all over the world. Our loved ones is dying without any honnor.",-0.584,1
This report had virtually nothing to do with unemployment.,-0.4404,2
